Study,Study_ID.x,Publication_Year,Type_of_publication,Study_design,Country,Geographical_Context,decade,teacher_type,teacher_count,other_teachers,male,female,gender_NR,White,Black,hispanic,API,american_indian,asian,european,multiracial,race_NR,teacher_age,teaching_years,Teacher_Language_Sample_Teacher_Notes,class_type,total_students,HID_students,avg_group,Were_there_additional_students_in_the_study_sample_outside_of_those_in_the_teacher_language_sample?,primary_HID,HID,disability_status,grade,content,1_Language_Label,1_Study_Definition,1_rate_or_%_of_language_(avg),2_Language_Label,2_Study_Definition,2_rate_or_%_of_language_(avg),3_Language_Label,3_Study_Definition,3_rate_or_%_of_language_(avg),4_Language_Label,4_Study_Definition,4_rate_or_%_of_language_(avg),5_Language_Label,5_Study_Definition,5_rate_or_%_of_language_(avg),6_Language_Label,6_Study_Definition,6_rate_or_%_of_language_(avg),7_Language_Label,7_Study_Definition,7_rate_or_%_of_language_(avg),8_Language_Label,8_Study_Definition,8_rate_or_%_of_language_(avg),9_Language_Label,9_Study_Definition,9_rate_or_%_of_language_(avg),10_Language_Label,10_Study_Definition,10_rate_or_%_of_language_(avg),language_type,language_whom,session_number,session_duration,observation_span,coding_method,sampling_1,sampling_2,coding_system,system_name,Baseline,Receiver,What_was_the_focus_of_the_intervention?,Student_Outcomes,Outcome_Measured,Teacher_Demo,Observational_Measurement,Coder_Training,Teacher_Language,Reliability_Reporting,Reliability_Levels,total_quality,methods_quality
3691,Pellegrin 2004,2004,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2000,1 general education teacher,2,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,5,,No,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Math,,,0,,"each time the teacher makes any statement to one of the target students that expresses approval, including but not limited to: “Nice job”, “That’s right!”, “Looks good”, “I like the way you wrote neatly/are trying hard”, and “You got them all right” spontaneously initiated by the 
teacher.",0% (true perc avg),Instructional feedback,"each time a teacher makes any statement to a target student relating to the academic assignment, 
answers a question(s) about academic items, or provides corrective feedback to the student about his or her work",6.25% (true perc avg),,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,2 target students (pre-determined),33,10,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,1 Yes,2 students,recruiting teacher praise,1 yes,1 engagement/on-task behavior,0,2,2,2,2,2,10,10
3722,SCHWARTZ 1983,1983,Dissertation,Correlational,1 United States,5 Not reported,1980,2 special education teacher,8,2 no,37,62,0,0,0,0,0,0,0,0,0,100,,13,,Special education,63,63,7,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Reading; Math,,,,,conversation with a student which has nothing to do with classroom work or classroom management,Not reported,behavioral contacts,teacher disciplines the child or makes individual comments concerning his classroom behavior,Not reported,,,,,,,,,,,,,,,,,,,,,,Dialogic teaching; Behavioral feedback ; Questioning; Teacher talk,2 target students (pre-determined),,,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,Teacher-Child Dyadic Interaction System for Coding,2 No,3 NA,,1 yes,4 reading; 5 math; 7 other academic,0,1,2,1,2,0,6,6
3738,Simmons 2023,2023,Dissertation,Qualitative,1 United States,4 Suburban,2020,1 general education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,,,General education,16,4,16,No,No primary,Learning disability; Reading disability; Autism spectrum disorder; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Math,,,32,,To summarize or restate the information in a particular way,12.82%,Apply,The ability to use learned material in new and concrete situations,50%,Analyze,Understanding the underlying structure of knowledge to be able to distinguish between fact and opinion,3.85%,Evaluate,"Making judgments about the value of ideas, theories, items and materials",1.28%,Create,"Reorganizing concepts into new structures or patterns through generating, 
producing, or planning",0%,total questions asked,Not reported,47 freq,higher order questions asked,Not reported,28 freq,,,,,,,Questioning,3 individual students (not pre-determined),5,,6 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Bloom's Revised Taxonomy,2 No,3 NA,,2 no,8 NA,0,1,0,1,0,0,2,2
3815,Anderson 1991,1991,Unpublished/Conference Paper,Randomized controlled trial,3 Canada,5 Not reported,1990,2 special education teacher,16,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Resource room,83,83,5,No,Reading disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",2 Middle (6-8); 3 High (9-12),Reading,,,,,"inform students, focus on text and learning about reading, set reading goals before reading, problem solve during reading, summarize to check comprehension, reflect on reading goals after reading, stress new learning content",Not reported,,,,,,,,,,,,,,,,,,,,,,,,,Explicit instruction; Questioning; Instructional; Metacognitive,1 whole group,1,30,1 day,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,"Teaching shifts and self-evaluation, and principles and techniques for fostering active reading.",1 yes,1 engagement/on-task behavior; 4 reading,0,0,1,1,2,0,4,4
3838,Starling 2015,2015,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2010,2 special education teacher,4,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Alternative/Specialized,25,25,6,No,Emotional-behavioral disorder,Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8); 3 High (9-12),ELA; Math,,,0,,positive statements communicated verbally by the teacher to a student(s) that do not specify a desired student behavior,0.44/min,reprimands,negative feedback or statements communicated verbally by the teacher to a student.,0.003/min,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 2 target students (pre-determined),11,20,2 months,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,"(Hawkins & Heflin, 2011; Thompson et al., 2012)",1 Yes,1 teachers,video self-modeling to increase BSP,2 no,8 NA,0,2,2,2,2,1,9,9
3841,Young 2024,2024,Dissertation,Single-case design- ABAB,1 United States,5 Not reported,2020,1 general education teacher,2,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,5,,General education; Inclusion,53,7,26,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",3 High (9-12),ELA,,,5,,any statement made to a student intended to be corrective,.21/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),7,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 7 other academic,2,2,2,2,2,2,12,10
3851,Hackett 2023,2023,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2020,1 general education teacher; 2 special education teacher,3,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,4,,General education; Small group,35,5,11,No,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,34,,"a verbal praise statement 
from a teacher to a student that is specifically about their behavior",.16/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),6,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,focused on improving rates of behavior specific praise and general praise through teacher consultation/education,2 no,8 NA,2,2,0,2,2,1,9,7
3867,Hall 2019,2019,Dissertation,Single-case design- MBL,1 United States,3 Rural,2010,1 general education teacher,3,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,8,,General education,59,11,19,No,No primary,Learning disability; Intellectual developmental disability; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,27,,a general positive statement delivered to an individual or group,32.67% (avg of perc),negative comments,"connotes a lack of positive qualities or productiveness including sarcasm, or tone of voice including criticism and demeaning remarks directed to an individual or group",40.33% (avg of perc),verbal prompting,"prompt is a verbal statement given 
to learners either prior to a specific response following an instruction or after an error has 
occurred",46.67%,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,20,Not reported,2 Coding from video recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,"increasing praise, prompting and decreasing negative comments",2 no,8 NA,0,2,1,2,2,1,8,8
3873,Reed 2014,2014,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2010,2 special education teacher,1,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Small group,3,3,3,Yes,Emotional-behavioral disorder,Reading disability; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Reading,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,3 individual students (not pre-determined),7,,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,the use of behavior specific praise,1 yes,1 engagement/on-task behavior,0,2,1,2,2,2,9,9
3981,Pacitto 2019,2019,Dissertation,Descriptive,1 United States,1 Urban,2010,1 general education teacher; 2 special education teacher,3,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,,,General education; Special education,,3,,No,No primary,Emotional-behavioral disorder; Autism spectrum disorder; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Academics,,,58,,"positive statements directed at one or more students which indicate a specific behavior and delivered in a monotone voice with low fluctuation, pitch, and volume",17.2%(avg. of %),general praise enthusiastic,positive statements directed at one or more students which do not indicate a specific behavior and delivered with high pitch and volume,18.17%(avg. of %),"behavior specific praise enthusiastic
",positive statements directed at one or more students which indicate a specific behavior and delivered with high pitch and volume,6.25% (avg. of %),praise,,1.02/min(avg. of %),,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),4,,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,0,2,2,2,7,7
3995,McKenzie 2016,2016,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2010,2 special education teacher,3,1 yes,0,100,0,100,0,0,0,0,0,0,0,0,,11,teacher were suggested by principals for needed support with classroom management,Special education,10,3,3,Yes,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Reading; Math,,,1,,"Teacher provides specific feedback to the student or group of students 
regarding the behavior that is being approved",.07/min,Behavior Specific Praise-target student,"Teacher provides specific feedback to the student or group of students 
regarding the behavior that is being approved",.09/min,General Praise- group,Teacher provides no specific feedback about the behavior being approved,.06/min,General Praise- individual,"Teacher provides no specific feedback about the behavior 
being approved",.08/min,General Praise- target student,"Teacher provides no specific feedback about the behavior 
being approved",.12/min,Reprimand- group,teacher provides a correction or reprimand statement that is intended to correct a specific academic or social behavior,.002/min,Reprimand- individual,teacher provides a correction or reprimand statement that is intended to correct a specific academic or social behavior,.02/min,Reprimand- target student,teacher provides a correction or reprimand statement that is intended to correct a specific academic or social behavior,.08/min,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),6,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,"teacher coaching and performance feedback with classroom assessment focused on praise, reprimands, and opportunities to respond",1 yes,2 challenging/disruptive behavior,2,2,2,2,2,1,11,9
4017,Rathel 2008,2008,Dissertation,Single-case design- MBL,1 United States,5 Not reported,2000,2 special education teacher,4,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,1,,Special education; Resource room,30,30,7,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Not reported,,,11,,"Verbal comments indicating approval of students' social 
behavior that specify the behavior",.04/min,non-behavior-specific teacher praise statements,Verbal comments indicating approval of students' behavior that do not specify the student behavior,.50/min,teacher correction statements for academic behavior,Verbal comments indicating disapproval of students' academic behavior,.13/min,teacher correction statements for social behavior,Verbal comments indicating disapproval of students' social behavior,.70/min,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,2 target students (pre-determined),7,15,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,1 Yes,1 teachers,emailed feedback on teacher language to improve the ratio of positive to negative language (5:1),1 yes,1 engagement/on-task behavior,0,2,2,2,2,1,9,9
4125,Johnson 1999,1999,Dissertation,Descriptive,1 United States,5 Not reported,1990,2 special education teacher,9,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,79,79,8,No,No primary,Learning disability; Intellectual developmental disability; Developmental language disorder; Emotional-behavioral disorder; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Academics,,,1,,academic feedback are statements of an academic response that indicate the appropriateness of the response to the requested task without qualitative judgement,Not reported,talk,verbal statements of academic or classroom related content that provide information relevant to the completion of tasks.,5.17/min,promise of positive,"this is an ""if... then"" statement that establishes a relationship between a particular behavior and a future reward",.02/min,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Logistical,1 whole group ; 3 individual students (not pre-determined),12,30,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,2,1,2,2,1,8,8
4149,StokesFuoco 2020,2020,Dissertation,Single-case design- MBL,1 United States,1 Urban,2020,1 general education teacher,2,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,,,Small group,10,10,5,No,Emotional-behavioral disorder,Reading disability; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5); 2 Middle (6-8),Reading,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questioning,1 whole group ; 3 individual students (not pre-determined),5,,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Fischer et al., 2019",1 Yes,1 teachers,ACCEPT reading intervention,1 yes,1 engagement/on-task behavior; 4 reading,2,1,1,2,2,2,10,8
4185,Owiny 2014,2014,Dissertation,Single-case design- Other,6 Guatamala,1 Urban; 5 Not reported,2010,1 general education teacher; 2 special education teacher,3,1 yes,0,100,0,0,0,0,0,0,0,0,0,100,25,5,,General education; Alternative/Specialized,56,,18,Yes,No primary,Learning disability; Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA; Math; Other,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,3 individual students (not pre-determined),11,6,Not reported,2 Coding from video recording,1 Continuous,3 Interval,1 researcher developed coding system,,1 Yes,1 teachers,virtual coaching on specific praise,2 no,8 NA,0,2,1,2,2,2,9,9
4304,Lassman 2007,2006,Dissertation,Correlational,1 United States,1 Urban,2000,2 special education teacher,6,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,,11,,No,Emotional-behavioral disorder,Developmental language disorder; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5); 2 Middle (6-8),Academics,,,,,negative talk that gives the student information on the quality of their work or encourages the child to continue working; follows prior teacher or student behavior/language,Not reported,teacher feedback (neutral),neutral talk that gives the student information on the quality of their work or encourages the child to continue working; follows prior teacher or student behavior/language,Not reported,teacher questions (academic),"Questioning phrase designed to elicit a student response; ""what do you think will happen next?""",Not reported,teacher questions (behavioural),"Questioning phrase designed to elicit a student response; ""are you ready?""",Not reported,teacher questions (miscellaneous),"Questioning phrase designed to elicit a student response; ie Teacher talking to him/herself, or does not fit the definition of ""orienting""",Not reported,mands (behavioural),"directive to a student designed to elicit a compliant response; ""get quiet""",Not reported,mands (academic),"directive to a student designed to elicit a compliant response related to lesson; ""tell me who the three main characters are""",Not reported,mands (off-topic),mands that don't fit the definition of either orienting or academic,Not reported,,,,Academic feedback ; Behavioral feedback ; Questioning; Instructional; Teacher talk,2 target students (pre-determined),11,20,5 months,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,1,2,2,2,1,8,8
4529,Lago-Delello 1996,1996,Dissertation,Correlational,1 United States,1 Urban,1990,1 general education teacher,13,2 no,0,100,0,38,23,38,0,0,0,0,0,0,,,,General education,,13,,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Not reported,,,13,,"include statements of criticism and negation 
or incorrect responses",.08/min,neutral statements,"not critical, affirming, or praising m their delivery or the environmental context",.23/min,academic communication,is related to instruction and subject matter,.21/min,nonacademic communication,is related to behavioral or procedural context,.28/min,public response opportunities,number of chances students have to respond in the classroom as a result of the teacher's calling on a non-volunteer or calling a student's name before he or she asks the questions,.27/min,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Instructional; Logistical,2 target students (pre-determined),4,15,1 month,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Irvine's(1986) modified version of Brophy-Good Dyadic Interactions System,2 No,3 NA,,1 yes,1 engagement/on-task behavior; 3 other emotional-behavioral,2,2,2,2,0,0,8,6
4720,Korinek 1987,1987,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher,40,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,360,360,9,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,Not reported,ELA; Math; Science,,,0,,Not reported,3.74,provides learner feedback,Not reported,8.92,develops students' self-feedback,Not reported,21.03,assists in error correction,Not reported,37.11,,,,,,,,,,,,,,,,Academic feedback ; Undefined,1 whole group,12,5,2 days,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Classroom Observation Keyed for Effectiveness Research (COKER),2 No,3 NA,,2 no,8 NA,0,2,2,0,0,0,4,4
4721,Caldarella 2019,2019,Published study,Randomized controlled trial,1 United States,5 Not reported,2010,1 general education teacher; 2 special education teacher,149,2 no,5,95,0,83,10,2,1,0,0,0,0,2,38,9,,General education; Special education,,311,,No,Emotional-behavioral disorder,Learning disability; Intellectual developmental disability; Developmental language disorder; Emotional-behavioral disorder; Autism spectrum disorder; Other Health Impairment,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA; Math; Science; Social Studies; Not reported,,,15,,"Negative verbal comments such as scolding, threatening, or otherwise indicating disapproval with social
behavior, or making comments with intent to correct behavior as it is occurring or after it has occurred; recorded if directed to the target student or a group of students including the target student 
",.07/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),,15,four to six months,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,2,2,2,2,2,1,11,9
4722,Johnson 2025,2025,Published study,Single-case design- ABAB,1 United States,4 Suburban,2020,2 special education teacher,2,2 no,50,50,0,50,0,50,0,0,0,0,0,0,42,8,,Special education,23,23,11,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder; Autism spectrum disorder; Other Health Impairment,2 Formally identified- IEP or diagnosis,2 Middle (6-8),Math,,,0,,verbal statement indicating disapproval of inappropriate behavior or a punitive statement.,0.29/min (avg of rates),,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),4,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
4723,Johnstone 2025,2025,Published study,Single-case design- ABAB,1 United States,4 Suburban,2020,2 special education teacher,1,2 no,0,100,0,100,0,0,0,0,0,0,0,0,24,2,,Special education,5,5,5,No,Emotional-behavioral disorder,Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Math,,,57,,"praise statements included behavior-specific praise, such as, “Good work staying in your seat,” as well as more general praise 
statements indicating approval of student behavior, such as, 
“Well done.” Praise statements did not include simply 
acknowledging correct answers from students, such as saying, “Yes, that’s right.”",.01/min,individual reprimand,"verbal statements indicating disapproval of inappropriate 
behaviors or were seen as a correction of student behaviors, 
such as, “You need to sit down,” or “Please raise your hand 
if you wish to talk.",.21/min,group reprimand,"verbal statements indicating disapproval of inappropriate 
behaviors or were seen as a correction of student behaviors, 
such as, “You need to sit down,” or “Please raise your hand 
if you wish to talk.",.01/min,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,20,8 days,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
4726,Kamps 2011,2011,Published study,Single-case design- ABAB,1 United States,2 Urban (low-income/SES),2010,1 general education teacher,3,1 yes,33,66,0,0,0,0,0,0,0,0,0,100,,1,,General education,,8,,Yes,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Math,,1,82,,"reprimand statements (e.g., ""Everyone needs to get quiet!"")",.45/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),7,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,2,0,1,2,0,5,5
4727,Wills 2022,2022,Published study,Single-case design- ABAB,1 United States,5 Not reported,2020,1 general education teacher,6,1 yes,0,100,0,0,0,0,0,0,0,0,0,100,,,,General education,,10,,Yes,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),ELA; Math,,1,,,"verbal comments or negative statements about 
behavior with the intent to stop the student(s) from mis-
behaving (e.g., “Everyone needs to get quiet!”) given to 
individuals, groups, or the whole class.",Not reported,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,2,1,2,2,1,8,8
4728,Caldarella 2023,2023,Published study,Single-case design- Other,1 United States,1 Urban,2020,2 special education teacher,3,2 no,33,66,0,100,0,0,0,0,0,0,0,0,,2,"While there were 3 teachers, data was collected on 4 classes (one teacher taught in two classes)",Alternative/Specialized,,,10,No,No primary,Learning disability; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",3 High (9-12),Other,,,0,,"any verbal statement approving, noticing, or encouraging desired 
behavior by noting positive components of target behaviors.",.004 (avg of avgs),reprimand- individual,disciplinary statements or scolding intended to reduce problem behaviors.,.05 (avg of avgs),reprimand- group,disciplinary statements or scolding intended to reduce problem behaviors.,0.02 (avg of avgs),,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),3,20,2 days,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Wills et al., 2010, 2018, 2021",1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
4729,Wills 2023,2023,Published study,Randomized controlled trial,1 United States,2 Urban (low-income/SES); 4 Suburban,2020,1 general education teacher,28,2 no,28,71,0,89,0,0,0,0,0,0,0,10,34,7,,General education,629,94,22,No,Emotional-behavioral disorder,Learning disability; Emotional-behavioral disorder; Attention deficit hyperactivity disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",2 Middle (6-8),ELA; Reading; Math; Science; Social Studies,,,4,,"verbal comments to scold or negatively 
comment on student behavior, often with the intent to stop the student from mis-
behaving",.30/min,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),3,20,2 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,2,2,2,2,2,2,12,10
4730,Wills 2018,2018,Published study,Randomized controlled trial,1 United States,5 Not reported,2010,1 general education teacher; 2 special education teacher,157,2 no,4,95,0,83,10,0,0,0,0,0,0,7,,,,General education; Special education,324,73,,No,Emotional-behavioral disorder,Intellectual developmental disability; Developmental language disorder; Emotional-behavioral disorder; Autism spectrum disorder; Other Health Impairment,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5); 2 Middle (6-8),ELA; Reading; Writing; Math; Not reported,,,6,,verbal comments made to the target student or to a group including the target student or to a group including the target student that indicated disapproval contingent on some student behavior or action,.13/min,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 2 target students (pre-determined),9,15,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,2,2,2,2,2,2,12,10
4731,Caldarella 2019,2019,Published study,Single-case design- ABAB,1 United States,2 Urban (low-income/SES); Other: interurban,2010,1 general education teacher,9,2 no,22,77,0,0,0,0,0,0,0,0,0,100,32,5,,General education,234,23,26,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",2 Middle (6-8),ELA; Math; Science; Social Studies,,,,,"a verbal comment intended to stop the student(s) from
misbehaving",,praise:reprimand ratio,"a comparison of the number of praise
statements delivered to the number of reprimands",.36:1,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),5,20,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,CW-FIT,1 yes,1 engagement/on-task behavior; 2 challenging/disruptive behavior,0,2,1,2,2,1,8,8
